mode,counts,prob,AA cost/gr,AA cost,growth rate,,,,,,,,,,,,
0,[522],[0.52],4.746478413,2.886340582,0.608101487,,,,,,,,,,,,
1,[153],[0.15],4.902647741,2.017032078,0.411416888,,,,,,,,,,,,
2,[2],[0.],4.80396741,2.858256519,0.594978333,,,,,,,,,,,,
3,[14250],[14.24],4.746476622,2.886356467,0.608105063,,,,,,,,,,,,
4,[1],[0.],4.745572396,2.888227868,0.608615279,,,,,,,,,,,,
5,[47],[0.05],4.745569918,2.888240503,0.608618259,,,,,,,,,,,,
6,[3031],[3.03],4.746479749,2.886341394,0.608101487,,,,,,,,,,,,
7,[81794],[81.71],4.746478137,2.886357389,0.608105063,,,,,,,,,,,,
8,[9],[0.01],4.745572957,2.88822821,0.608615279,,,,,,,,,,,,
9,[291],[0.29],4.745585182,2.888249793,0.608618259,,,,,,,,,,,,
10,unc,0,4.745585182,2.888249793,0.608618259,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
'ATPS4r',1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
'ENO',1,1,-1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1
'FBA',1,1,-1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1
'FUM',-1,-1,1,1,1,1,1,-1,1,1,-1,-1,1,1,-1,1,1
'GAPD',1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
'MDH',-1,-1,-1,-1,-1,-1,-1,1,1,1,-1,-1,-1,-1,1,1,1
'PGI',-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,1,1
'PGK',-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'PGM',-1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'RPE',1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
'TALA',1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
'TKT1',1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
'TKT2',1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
'TPI',1,1,-1,-1,-1,1,1,1,1,1,1,1,1,1,1,1,1
