Reaction Name,cost forward,cost backward
ACACT1r,18.88547240179543,18.895663360522526
ACACT2r,18.885472401795404,18.895663360522676
ACACT3r,18.885472401795347,18.89566336052278
ACACT4r,18.88547240179528,18.89283045684063
ACACT5r,18.885472401795344,18.891778265795054
ACACT6r,18.885472401795298,18.890764754522444
ACACT7r,18.88547240179543,18.887335590977223
ACACT8r,18.88576194752267,18.885472401795344
ACALD,18.88547240179531,18.885472401795298
ACKr,18.920507226233838,18.88547240179517
ACOAD1f,18.895663360522548,18.88547240179534
ACOAD2f,18.895663360522718,18.88547240179543
ACOAD3f,18.895663360522523,18.885472401795347
ACOAD4f,18.892830456840706,18.885472401795166
ACOAD5f,18.891778265795118,18.885472401795415
ACOAD6f,18.888106424749964,18.885472401795337
ACOAD7f,18.886484245795167,18.885472401795344
ACOATA,18.885472401795298,18.885472401795433
ADK1,18.88547240179516,18.88800715079525
ADK3,18.88547240179534,18.88547240179537
ALATA_L,18.886021646795268,18.885472401795365
ARBt2rpp,18.885472401795344,18.885472401795415
ARGAGMt7pp,18.8854724017953,18.885472401795052
ASPt2pp_copy2,18.88547240179543,18.885472401795298
ATPS4rpp,18.885472401795237,34.20547017666613
CBMKr,18.885472401795298,18.8925443319773
CO2tpp,20.148872426649945,18.8854724017953
CRNDt2rpp,18.88547240179543,18.885472401795344
CTECOAI6,18.885472401795333,18.885472401795298
CTECOAI7,18.886034201249927,18.88547240179542
CTECOAI8,18.885761947522546,18.885472401795298
CYTK1,18.885472401795298,18.888822713159026
CYTK2,18.885472401795255,18.885472401795372
DADK,18.885472401795244,18.885472401795273
DGK1,18.885472401795408,18.885472401795337
DURIPP,18.885472401795237,18.88547240179534
ECOAH1,18.885472401795308,18.8956633605224
ECOAH2,18.885472401795315,18.89566336052264
ECOAH3,18.885472401795244,18.89566336052246
ECOAH4,18.88547240179543,18.892830456840706
ECOAH5,18.885472401795415,18.891778265795118
ECOAH6,18.885472401795298,18.890764754522515
ECOAH7,18.885472401795365,18.887335590977223
ECOAH8,18.885472401795163,18.88576194752274
ENO,18.8854724017953,20.590508232929356
F6PA,18.885472401795237,19.059187446478653
FBA,18.885472401795237,18.88948079238628
FUM,18.885472401795344,18.913694385606103
GAPD,18.885472401795333,21.170001047740698
GARFT,18.885472401795237,18.887551403454363
GHMT2r,18.885472401795344,18.91074435645439
GLUDy,18.933972686363525,18.885472401795237
GLUt2rpp,18.885472401795344,18.88547240179542
GLYAT,18.885472401795294,18.885472401795408
GLYCtpp,18.885490477613416,18.885472401795298
H2Otpp,22.636573869166412,18.885472401795305
HACD1,18.885472401795163,18.89566336052257
HACD2,18.885472401795248,18.895663360522633
HACD3,18.88547240179534,18.895663360522654
HACD4,18.885472401795237,18.892830456840702
HACD5,18.885472401795408,18.891778265795246
HACD6,18.88547240179517,18.890764754522575
HACD7,18.885472401795365,18.887335590977052
HACD8,18.885472401795163,18.885761947522585
ICHORS_copy1,18.885472401795298,18.885472401795298
IDOND,18.885472401795408,18.885472401795344
INDOLEt2rpp,18.885472401795344,18.885472401795344
IPDDI,18.88547240179542,18.885472401795294
LDH_D,18.885472401795166,18.885472401795337
MDH,18.885472401795273,18.901453258742457
MG2t3_2pp,18.88547240179516,18.885488157522435
MOX,18.88547240179525,18.88547587252267
MTHFC,18.885472401795273,18.90562381972716
MTHFD,18.885472401795298,18.905623819727293
NDPK1,18.885472401795237,18.886225057340834
NDPK3,18.885472401795237,18.888111776386253
NDPK5,18.885472401795408,18.885472401795415
NDPK7,18.885472401795408,18.885472401795344
NDPK8,18.885472401795408,18.885472401795344
PGI,18.88547240179537,19.19353338093872
PGK,21.170001047740676,18.885472401795276
PGM,20.590508232929277,18.885472401795347
PIt2rpp,18.88547240179541,18.88905455679546
POR5,18.885472401795337,18.885487055431675
PPK2,18.885473476249945,18.88547240179511
PPK,18.902750517431492,18.885472401795237
PPM,18.885480716795414,18.88547240179542
PRPPS,18.885472401795298,18.886377379795253
PTAr,18.885472401795344,18.920507226233923
PUNP1,18.885480716795286,18.885472401795298
PUNP2,18.885472401795273,18.885472401795255
PUNP3,18.885472401795244,18.88547240179532
PUNP5,18.885472401795298,18.885472401795376
PUNP7,18.885472401795298,18.885472401795244
PYNP2r,18.8854724017953,18.885472401795344
RPE,18.885487835567886,18.88547240179524
RPI,19.41679479524952,18.885472401795237
SUCOAS,18.89607670083321,18.885472401795273
TALA,18.885472401795408,18.885472401795415
THRt2rpp,18.885472401795415,18.885472401795237
TKT1,18.885472401795415,18.885502041795387
TKT2,18.88631573534088,18.88547240179534
TPI,18.885472401795415,19.20080015249988
TRPAS2,18.88574606115902,18.885472401795294
TRSARr,18.885472401795273,18.885472401795173
VALTA,18.88588358579543,18.885472401795408
VPAMTr,18.885472401795408,18.885472401795433
XYLI2,18.885472401795408,18.885472401795248
