rct,orig flux,cost,gr,cost pgr,dupl,odir
R_RPI,-2.242168531,0,0,inf,2,b
R_GAPD,10.21211887,1.599540031,0.353108048,4.52988834,1,f
R_PGK,-10.21211887,1.599540031,0.353108048,4.52988834,1,b
R_H2Otpp,-22.59670943,1.929052305,0.391985774,4.921230392,2,b
R_ENO,9.473634247,2.017308716,0.411605239,4.901076383,1,f
R_PGM,-9.473634247,2.017308716,0.411605239,4.901076383,3,b
R_GLUDy,-4.316818739,2.166958762,0.448694825,4.829471258,1,b
R_ATPS4rpp,21.35758883,2.317770987,0.472240448,4.908031485,2,f
R_GHMT2r,0.392833219,2.788430017,0.585449934,4.762883818,1,f
R_MTHFC,0.291572023,2.816174071,0.591838956,4.758345226,1,f
R_MTHFD,0.291572023,2.816174071,0.591838956,4.758345226,1,f
R_FUM,0.436515264,2.822475318,0.593775511,4.753438406,3,f
R_CO2tpp,-5.964602189,2.840857676,0.594649911,4.777361643,1,b
R_TPI,3.398585187,2.85943778,0.595373511,4.802762846,1,f
R_CBMKr,0.258408686,2.832490344,0.595683455,4.755026043,3,f
R_FBA,3.493732146,2.859999883,0.59584856,4.799877139,3,f
R_TKT1,1.88084394,2.858308992,0.598992705,4.771859435,2,f
R_CYTK1,0.143423438,2.848664831,0.599370599,4.752760374,1,f
R_HACD1,0.216595066,2.848721707,0.599879622,4.748822265,2,f
R_ECOAH2,0.216595066,2.848721707,0.599879622,4.748822265,2,f
R_ECOAH3,0.216595066,2.848721707,0.599879622,4.748822265,2,f
R_HACD3,0.216595066,2.848721707,0.599879622,4.748822265,2,f
R_HACD2,0.216595066,2.848721707,0.599879622,4.748822265,2,f
R_ACACT2r,0.216595066,2.848721707,0.599879622,4.748822265,2,f
R_ACOAD3f,-0.216595066,2.848721707,0.599879622,4.748822265,1,b
R_ECOAH1,0.216595066,2.848721707,0.599879622,4.748822265,2,f
R_ACOAD2f,-0.216595066,2.848721707,0.599879622,4.748822265,1,b
R_ACOAD1f,-0.216595066,2.848721707,0.599879622,4.748822265,1,b
R_ACACT3r,0.216595066,2.848721707,0.599879622,4.748822265,2,f
R_ACACT1r,0.216595066,2.848721707,0.599879622,4.748822265,3,f
R_NDPK3,0.143240852,2.851890476,0.600124598,4.752163947,2,f
R_ECOAH4,0.216595066,2.851536918,0.600208044,4.750914198,2,f
R_ACOAD4f,-0.216595066,2.851536918,0.600208044,4.750914198,1,b
R_HACD4,0.216595066,2.851536918,0.600208044,4.750914198,2,f
R_ACACT4r,0.216595066,2.851536918,0.600208044,4.750914198,2,f
R_RPE,3.548279132,2.866678714,0.601236224,4.767974048,2,f
R_HACD5,0.216595066,2.857573786,0.601584911,4.750075563,2,f
R_ECOAH5,0.216595066,2.857573786,0.601584911,4.750075563,2,f
R_ACOAD5f,-0.216595066,2.857573786,0.601584911,4.750075563,1,b
R_ACACT5r,0.216595066,2.857573786,0.601584911,4.750075563,2,f
R_ACACT6r,0.169229959,2.863648536,0.602967739,4.749256635,2,f
R_ECOAH6,0.169229959,2.863648536,0.602967739,4.749256635,2,f
R_HACD6,0.169229959,2.863648536,0.602967739,4.749256635,2,f
R_TKT2,1.667435192,2.873689266,0.603082776,4.764999731,2,f
R_NDPK1,6.104193289,2.867319364,0.603926778,4.747793059,2,f
R_PIt2rpp,0.392586866,2.873562722,0.604999661,4.749693107,2,f
R_TALA,1.88084394,2.877600881,0.605477691,4.752612565,2,f
R_ADK1,3.738093081,2.8756835,0.605778098,4.747090575,1,f
R_ACOAD6f,-0.169229959,2.876081922,0.605840683,4.747257823,1,b
R_ALATA_L,-0.570168511,2.877311381,0.606151819,4.746849369,2,b
R_PPM,-0.361324591,2.879530834,0.606648326,4.746622897,2,b
R_ECOAH7,0.169229959,2.879902613,0.606711507,4.746741376,2,f
R_HACD7,0.169229959,2.879902613,0.606711507,4.746741376,2,f
R_ACACT7r,0.169229959,2.879902613,0.606711507,4.746741376,2,f
R_GARFT,0.148164441,2.881831126,0.60711205,4.746786241,1,f
R_CTECOAI7,-0.091553228,2.883725168,0.607585311,4.746206197,1,b
R_ACOAD7f,-0.077676731,2.884413477,0.607741475,4.746119189,1,b
R_MDH,0.436758712,2.886357389,0.608105063,4.746478137,1,f
R_TRPAS2,-0.030498096,2.885880901,0.608128309,4.745513171,1,b
R_POR5,0.049780155,2.887041923,0.608305335,4.746040774,2,f
R_VPAMTr,0.223309715,2.887609292,0.60847342,4.745662171,1,f
R_PTAr,0.170777854,2.888951244,0.608584285,4.747002702,2,f
R_ACKr,-0.170777854,2.888951244,0.608584285,4.747002702,3,b
R_PUNP1,-0.004469503,2.888126086,0.608586669,4.745628245,1,b
R_MG2t3_2pp,0.000941052,2.888231452,0.608612895,4.745596874,1,f
unconstrained,0,2.888249793,0.608618259,4.745585182,1,u
R_ACACT8r,0,2.888249793,0.608618259,4.745585182,2,0
R_ACALD,0,2.888249793,0.608618259,4.745585182,2,0
R_ACOATA,0,2.888249793,0.608618259,4.745585182,1,0
R_ADK3,0,2.888249793,0.608618259,4.745585182,1,0
R_ARBt2rpp,0,2.888249793,0.608618259,4.745585182,1,0
R_ARGAGMt7pp,0,2.888249793,0.608618259,4.745585182,1,0
R_ASPt2pp_copy2,0,2.888249793,0.608618259,4.745585182,1,0
R_CRNDt2rpp,0,2.888249793,0.608618259,4.745585182,1,0
R_CTECOAI6,0,2.888249793,0.608618259,4.745585182,1,0
R_CTECOAI8,0,2.888249793,0.608618259,4.745585182,1,0
R_CYTK2,0,2.888249793,0.608618259,4.745585182,1,0
R_DADK,0,2.888249793,0.608618259,4.745585182,1,0
R_DGK1,0,2.888249793,0.608618259,4.745585182,1,0
R_DURIPP,0,2.888249793,0.608618259,4.745585182,2,0
R_ECOAH8,0,2.888249793,0.608618259,4.745585182,2,0
R_F6PA,0,2.888249793,0.608618259,4.745585182,2,0
R_GLUt2rpp,0,2.888249793,0.608618259,4.745585182,1,0
R_GLYAT,0,2.888249793,0.608618259,4.745585182,1,0
R_GLYCtpp,0,2.888249793,0.608618259,4.745585182,2,0
R_HACD8,0,2.888249793,0.608618259,4.745585182,2,0
R_ICHORS_copy1,0,2.888249793,0.608618259,4.745585182,1,0
R_IDOND,0,2.888249793,0.608618259,4.745585182,1,0
R_INDOLEt2rpp,0,2.888249793,0.608618259,4.745585182,1,0
R_IPDDI,0,2.888249793,0.608618259,4.745585182,1,0
R_LDH_D,0,2.888249793,0.608618259,4.745585182,2,0
R_NDPK5,0,2.888249793,0.608618259,4.745585182,2,0
R_NDPK7,0,2.888249793,0.608618259,4.745585182,2,0
R_NDPK8,0,2.888249793,0.608618259,4.745585182,2,0
R_PPK2,0,2.888249793,0.608618259,4.745585182,1,0
R_PPK,0,2.888249793,0.608618259,4.745585182,1,0
R_PRPPS,0,2.888249793,0.608618259,4.745585182,1,0
R_PUNP2,0,2.888249793,0.608618259,4.745585182,1,0
R_PUNP3,0,2.888249793,0.608618259,4.745585182,2,0
R_PUNP5,0,2.888249793,0.608618259,4.745585182,2,0
R_PUNP7,0,2.888249793,0.608618259,4.745585182,1,0
R_PYNP2r,0,2.888249793,0.608618259,4.745585182,1,0
