Reaction Name,cost,Macromolecule ID,Macromolecule stoichiometry,EC number,turnover number
R_pqqtex,1053.0,b0241,3.0,not found,0
R_pqqtex_duplicate_2,1086.0,b0929,3.0,not found,0
R_pqqtex_duplicate_3,1131.0,b1377,3.0,not found,0
R_pqqtex_duplicate_4,1101.0,b2215,3.0,not found,0
R_12PPDRtex,1131.0,b1377,3.0,not found,0
R_12PPDRtex_duplicate_2,1053.0,b0241,3.0,not found,0
R_12PPDRtex_duplicate_3,1086.0,b0929,3.0,not found,0
R_12PPDRtex_duplicate_4,1101.0,b2215,3.0,not found,0
R_12PPDStex,1131.0,b1377,3.0,not found,0
R_12PPDStex_duplicate_2,1053.0,b0241,3.0,not found,0
R_12PPDStex_duplicate_3,1086.0,b0929,3.0,not found,0
R_12PPDStex_duplicate_4,1101.0,b2215,3.0,not found,0
R_14GLUCANabcpp,296.0,b4032,1.0,not found,0
R_14GLUCANtexi,1338.0,b4036,3.0,2.4.1.1,2.678607705960832
R_23CAMPtex,1131.0,b1377,3.0,not found,0
R_23CAMPtex_duplicate_2,1053.0,b0241,3.0,not found,0
R_23CAMPtex_duplicate_3,1086.0,b0929,3.0,not found,0
R_23CAMPtex_duplicate_4,1101.0,b2215,3.0,not found,0
R_23CCMPtex,1131.0,b1377,3.0,not found,0
R_23CCMPtex_duplicate_2,1053.0,b0241,3.0,not found,0
R_23CCMPtex_duplicate_3,1086.0,b0929,3.0,not found,0
R_23CCMPtex_duplicate_4,1101.0,b2215,3.0,not found,0
R_23CGMPtex,1131.0,b1377,3.0,not found,0
R_23CGMPtex_duplicate_2,1053.0,b0241,3.0,not found,0
R_23CGMPtex_duplicate_3,1086.0,b0929,3.0,not found,0
R_23CGMPtex_duplicate_4,1101.0,b2215,3.0,not found,0
R_23CUMPtex,1131.0,b1377,3.0,not found,0
R_23CUMPtex_duplicate_2,1053.0,b0241,3.0,not found,0
R_23CUMPtex_duplicate_3,1086.0,b0929,3.0,not found,0
R_23CUMPtex_duplicate_4,1101.0,b2215,3.0,not found,0
R_23DAPPAtex,1131.0,b1377,3.0,not found,0
R_23DAPPAtex_duplicate_2,1053.0,b0241,3.0,not found,0
R_23DAPPAtex_duplicate_3,1086.0,b0929,3.0,not found,0
R_23DAPPAtex_duplicate_4,1101.0,b2215,3.0,not found,0
R_23PDE2pp,648.0,b4213,1.0,3.1.4.1,20.04844133592435
R_23PDE4pp,648.0,b4213,1.0,3.1.4.1,20.04844133592435
R_23PDE7pp,648.0,b4213,1.0,3.1.4.1,20.04844133592435
R_23PDE9pp,648.0,b4213,1.0,3.1.4.1,20.04844133592435
R_26DAHtex,1131.0,b1377,3.0,not found,0
R_26DAHtex_duplicate_2,1053.0,b0241,3.0,not found,0
R_26DAHtex_duplicate_3,1086.0,b0929,3.0,not found,0
R_26DAHtex_duplicate_4,1101.0,b2215,3.0,not found,0
R_2AGPA120tipp,397.0,b2835,1.0,not found,0
R_2AGPA140tipp,397.0,b2835,1.0,not found,0
R_2AGPA141tipp,397.0,b2835,1.0,not found,0
R_2AGPA160tipp,397.0,b2835,1.0,not found,0
R_2AGPA161tipp,397.0,b2835,1.0,not found,0
R_2AGPA180tipp,397.0,b2835,1.0,not found,0
R_2AGPA181tipp,397.0,b2835,1.0,not found,0
R_2AGPE120tipp,397.0,b2835,1.0,not found,0
R_2AGPE140tipp,397.0,b2835,1.0,not found,0
R_2AGPE141tipp,397.0,b2835,1.0,not found,0
R_2AGPE160tipp,397.0,b2835,1.0,not found,0
R_2AGPE161tipp,397.0,b2835,1.0,not found,0
R_2AGPE180tipp,397.0,b2835,1.0,not found,0
R_2AGPE181tipp,397.0,b2835,1.0,not found,0
R_2AGPEAT120,719.0,b2836,1.0,not found,0
R_2AGPEAT140,719.0,b2836,1.0,not found,0
R_2AGPEAT141,719.0,b2836,1.0,not found,0
R_2AGPEAT160,719.0,b2836,1.0,2.3.1.4,9.000000000000002
R_2AGPEAT161,719.0,b2836,1.0,not found,0
R_2AGPEAT180,719.0,b2836,1.0,2.3.1.4,9.000000000000002
R_2AGPEAT181,719.0,b2836,1.0,not found,0
R_2AGPG120tipp,397.0,b2835,1.0,not found,0
R_2AGPG140tipp,397.0,b2835,1.0,not found,0
R_2AGPG141tipp,397.0,b2835,1.0,not found,0
R_2AGPG160tipp,397.0,b2835,1.0,not found,0
R_2AGPG161tipp,397.0,b2835,1.0,not found,0
R_2AGPG180tipp,397.0,b2835,1.0,not found,0
R_2AGPG181tipp,397.0,b2835,1.0,not found,0
R_2AGPGAT120,719.0,b2836,1.0,not found,0
R_2AGPGAT140,719.0,b2836,1.0,not found,0
R_2AGPGAT141,719.0,b2836,1.0,not found,0
R_2AGPGAT160,719.0,b2836,1.0,not found,0
